iter	Passed	Remaining
0	2	348
1	3	250
2	5	212
3	6	186
4	7	176
5	8	170
6	11	197
7	12	189
8	13	179
9	14	169
10	15	161
11	15	154
12	16	149
13	17	144
14	18	140
15	19	136
16	20	134
17	21	131
18	22	129
19	24	130
20	25	128
21	26	125
22	26	122
23	27	120
24	28	117
25	29	116
26	30	114
27	31	113
28	32	111
29	33	110
30	34	108
31	36	108
32	38	110
33	39	108
34	40	106
35	41	105
36	42	104
37	43	102
38	44	100
39	45	100
40	46	98
41	47	97
42	48	95
43	49	93
44	50	92
45	51	92
46	55	95
47	56	94
48	57	93
49	58	91
50	59	89
51	60	88
52	61	86
53	62	85
54	63	83
55	64	82
56	65	81
57	67	81
58	69	81
59	71	81
60	72	79
61	73	78
62	74	76
63	75	75
64	76	74
65	77	72
66	78	71
67	79	70
68	82	70
69	84	69
70	85	68
71	85	66
72	86	65
73	87	64
74	88	62
75	89	61
76	90	59
77	91	58
78	92	57
79	93	56
80	95	55
81	96	54
82	97	52
83	98	51
84	99	50
85	100	49
86	101	48
87	102	46
88	103	45
89	104	44
90	105	43
91	106	41
92	111	41
93	112	40
94	113	39
95	114	38
96	116	37
97	116	35
98	117	34
99	118	33
100	119	31
101	120	30
102	121	29
103	123	28
104	125	27
105	126	26
106	127	25
107	128	23
108	130	22
109	131	21
110	132	20
111	133	19
112	134	17
113	135	16
114	137	15
115	138	14
116	145	13
117	147	12
118	148	11
119	149	9
120	150	8
121	151	7
122	152	6
123	155	5
124	156	3
125	158	2
126	160	1
127	161	0
