iter	Passed	Remaining
0	106	106016
1	107	53524
2	108	35973
3	109	27224
4	110	21949
5	111	18436
6	112	15928
7	113	14042
8	114	12578
9	115	11399
10	116	10438
11	117	9635
12	118	8963
13	119	8384
14	120	7881
15	121	7443
16	122	7064
17	123	6730
18	124	6438
19	125	6167
20	126	5912
21	127	5679
22	128	5466
23	129	5271
24	130	5091
25	131	4925
26	132	4771
27	133	4634
28	134	4506
29	135	4380
30	136	4277
31	138	4179
32	139	4084
33	141	4020
34	142	3933
35	143	3851
36	145	3773
37	146	3700
38	147	3629
39	148	3563
40	149	3500
41	151	3445
42	152	3396
43	153	3344
44	155	3294
45	156	3243
46	157	3194
47	158	3149
48	159	3104
49	161	3060
50	162	3018
51	163	2979
52	164	2940
53	167	2935
54	168	2901
55	170	2866
56	171	2834
57	172	2802
58	173	2771
59	175	2741
60	176	2712
61	177	2683
62	178	2656
63	179	2630
64	182	2620
65	183	2599
66	185	2576
67	186	2553
68	187	2532
69	189	2511
70	190	2490
71	191	2464
72	192	2444
73	193	2425
74	195	2407
75	197	2399
76	199	2390
77	200	2371
78	201	2353
79	203	2336
80	204	2321
81	205	2304
82	207	2287
83	208	2273
84	209	2258
85	211	2251
86	213	2239
87	214	2224
88	215	2210
89	217	2196
90	218	2183
91	219	2169
92	220	2155
93	222	2141
94	223	2127
95	224	2116
96	226	2110
97	228	2099
98	229	2087
99	230	2075
100	231	2064
101	233	2053
102	234	2041
103	235	2030
104	237	2020
105	238	2010
106	240	2006
107	242	2001
108	243	1992
109	245	1982
110	246	1972
111	247	1961
112	248	1952
113	250	1944
114	251	1935
115	252	1927
116	255	1926
117	257	1921
118	258	1913
119	259	1905
120	260	1895
121	262	1888
122	263	1880
123	265	1872
124	266	1863
125	267	1853
126	268	1843
127	270	1844
128	271	1834
129	273	1828
130	274	1822
131	275	1812
132	277	1805
133	278	1799
134	279	1793
135	281	1788
136	282	1781
137	286	1786
138	287	1781
139	289	1775
140	290	1769
141	291	1764
142	293	1758
143	294	1752
144	296	1747
145	298	1743
146	300	1745
147	301	1736
148	303	1732
149	304	1727
150	306	1723
151	307	1718
152	309	1712
153	310	1708
154	315	1721
155	317	1718
156	319	1715
157	320	1710
158	322	1705
159	323	1700
160	325	1695
161	327	1691
162	328	1687
163	330	1684
164	332	1680
165	333	1675
166	335	1671
167	336	1666
168	338	1662
169	339	1657
170	341	1654
171	343	1652
172	345	1650
173	346	1646
174	348	1643
175	350	1639
176	351	1635
177	353	1631
178	354	1627
179	356	1622
180	358	1624
181	360	1622
182	362	1619
183	364	1614
184	365	1610
185	367	1606
186	368	1603
187	370	1599
188	373	1603
189	375	1601
190	377	1598
191	378	1591
192	379	1586
193	381	1583
194	382	1579
195	384	1575
196	385	1571
197	387	1568
198	389	1566
199	390	1563
200	392	1560
201	394	1557
202	395	1553
203	397	1549
204	398	1545
205	400	1542
206	404	1548
207	405	1545
208	407	1543
209	409	1539
210	410	1535
211	412	1534
212	414	1531
213	418	1536
214	419	1533
215	421	1530
216	423	1526
217	424	1523
218	426	1519
219	428	1519
220	430	1515
221	433	1517
222	434	1514
223	436	1511
224	437	1508
225	439	1504
226	440	1501
227	442	1498
228	443	1494
229	445	1491
230	448	1491
231	449	1488
232	451	1485
233	452	1482
234	454	1478
235	455	1474
236	456	1471
237	458	1468
238	460	1467
239	462	1464
240	464	1461
241	465	1458
242	466	1454
243	468	1450
244	469	1447
245	471	1443
246	473	1444
247	476	1443
248	477	1440
249	479	1437
250	480	1434
251	481	1430
252	483	1426
253	485	1425
254	486	1422
255	488	1420
256	491	1419
257	493	1418
258	494	1415
259	496	1412
260	497	1410
261	499	1407
262	501	1404
263	502	1401
264	506	1403
265	508	1403
266	510	1400
267	511	1397
268	513	1394
269	514	1390
270	515	1387
271	517	1384
272	521	1388
273	522	1385
274	524	1382
275	525	1378
276	526	1375
277	528	1371
278	529	1368
279	530	1364
280	532	1361
281	534	1360
282	536	1358
283	537	1355
284	539	1353
285	540	1350
286	542	1347
287	543	1343
288	545	1340
289	546	1337
290	548	1336
291	550	1333
292	551	1330
293	552	1327
294	554	1325
295	555	1322
296	557	1318
297	558	1315
298	559	1312
299	561	1310
300	563	1309
301	565	1306
302	566	1303
303	568	1300
304	569	1297
305	570	1294
306	572	1291
307	573	1288
308	574	1284
309	576	1282
310	578	1281
311	579	1278
312	580	1275
313	582	1272
314	583	1268
315	584	1265
316	585	1262
317	587	1259
318	588	1256
319	589	1253
320	591	1251
321	593	1248
322	594	1245
323	595	1242
324	596	1239
325	597	1236
326	599	1233
327	600	1230
328	602	1227
329	603	1224
330	604	1222
331	606	1219
332	607	1217
333	609	1214
334	610	1211
335	611	1208
336	612	1205
337	613	1202
338	615	1199
339	616	1196
340	617	1193
341	619	1191
342	621	1189
343	622	1187
344	624	1185
345	625	1183
346	627	1180
347	628	1177
348	630	1176
349	632	1174
350	633	1171
351	635	1169
352	637	1167
353	638	1164
354	639	1162
355	640	1159
356	642	1156
357	643	1153
358	644	1150
359	645	1148
360	647	1145
361	648	1142
362	650	1141
363	652	1140
364	653	1137
365	655	1134
366	656	1131
367	657	1129
368	658	1126
369	659	1123
370	661	1121
371	662	1118
372	663	1115
373	665	1113
374	667	1111
375	668	1109
376	669	1107
377	671	1104
378	672	1101
379	673	1099
380	674	1096
381	676	1093
382	677	1090
383	678	1088
384	679	1085
385	681	1084
386	683	1082
387	684	1080
388	686	1077
389	687	1075
390	688	1072
391	690	1070
392	691	1067
393	692	1065
394	694	1063
395	696	1062
396	697	1060
397	699	1057
398	700	1055
399	702	1053
400	703	1050
401	704	1048
402	706	1046
403	707	1044
404	712	1046
405	713	1044
406	715	1042
407	716	1040
408	718	1038
409	719	1036
410	721	1034
411	723	1032
412	725	1030
413	726	1028
414	728	1026
415	729	1023
416	730	1021
417	732	1019
418	733	1016
419	734	1014
420	735	1012
421	737	1009
422	738	1007
423	740	1005
424	741	1003
425	743	1001
426	744	998
427	745	996
428	746	994
429	748	991
430	749	989
431	750	987
432	752	985
433	753	983
434	755	981
435	756	978
436	758	976
437	759	974
438	760	971
439	761	969
440	762	967
441	764	964
442	765	962
443	766	959
444	769	959
445	770	957
446	772	955
447	773	953
448	775	951
449	776	949
450	777	946
451	779	944
452	780	942
453	783	942
454	784	940
455	787	939
456	788	937
457	790	935
458	791	933
459	793	931
460	794	929
461	796	927
462	799	926
463	801	926
464	803	924
465	805	922
466	806	921
467	808	919
468	810	917
469	813	917
470	814	915
471	816	913
472	817	911
473	819	909
474	820	906
475	821	904
476	823	902
477	824	900
478	826	898
479	828	897
480	829	894
481	830	892
482	832	891
483	834	889
484	835	887
485	837	885
486	838	883
487	840	882
488	842	880
489	844	878
490	846	877
491	847	875
492	848	872
493	850	870
494	851	869
495	853	867
496	855	865
497	857	864
498	858	862
499	860	860
500	862	858
501	863	856
502	865	854
503	866	853
504	868	851
505	869	849
506	871	847
507	873	845
508	875	844
509	876	842
510	878	840
511	880	838
512	881	837
513	883	835
514	885	834
515	888	833
516	889	831
517	892	830
518	894	828
519	897	828
520	900	827
521	902	826
522	904	825
523	906	823
524	908	821
525	910	820
526	911	818
527	914	817
528	918	817
529	921	816
530	923	815
531	924	813
532	926	811
533	928	810
534	931	809
535	933	807
536	934	806
537	936	804
538	938	802
539	939	800
540	941	798
541	944	798
542	946	796
543	948	794
544	950	793
545	953	792
546	955	791
547	956	789
548	960	789
549	962	787
550	964	785
551	966	784
552	967	782
553	969	780
554	970	778
555	972	776
556	975	775
557	976	773
558	978	771
559	979	769
560	981	767
561	982	765
562	984	763
563	985	761
564	987	760
565	990	759
566	992	757
567	993	755
568	995	754
569	997	752
570	998	750
571	999	748
572	1001	746
573	1003	744
574	1005	742
575	1006	740
576	1007	738
577	1009	736
578	1010	734
579	1011	732
580	1013	730
581	1014	728
582	1015	726
583	1019	726
584	1021	724
585	1022	722
586	1024	720
587	1025	718
588	1027	716
589	1028	714
590	1029	712
591	1033	712
592	1035	710
593	1037	708
594	1038	707
595	1040	705
596	1042	703
597	1043	701
598	1044	699
599	1047	698
600	1049	696
601	1050	694
602	1052	692
603	1053	690
604	1055	689
605	1056	687
606	1058	685
607	1059	683
608	1062	681
609	1063	680
610	1065	678
611	1066	676
612	1068	674
613	1070	672
614	1071	670
615	1073	669
616	1074	667
617	1077	665
618	1078	663
619	1080	662
620	1081	660
621	1083	658
622	1085	656
623	1086	654
624	1088	652
625	1090	651
626	1092	649
627	1093	647
628	1095	646
629	1097	644
630	1098	642
631	1100	640
632	1102	639
633	1104	637
634	1108	637
635	1110	635
636	1112	633
637	1113	632
638	1115	630
639	1116	628
640	1119	627
641	1121	625
642	1124	624
643	1126	622
644	1127	620
645	1129	618
646	1131	617
647	1132	615
648	1136	614
649	1138	613
650	1140	611
651	1141	609
652	1143	607
653	1145	605
654	1146	604
655	1150	603
656	1152	601
657	1154	599
658	1155	598
659	1157	596
660	1158	594
661	1160	592
662	1161	590
663	1164	589
664	1166	587
665	1167	585
666	1169	583
667	1170	581
668	1172	580
669	1174	578
670	1176	576
671	1180	576
672	1182	574
673	1184	572
674	1186	571
675	1188	569
676	1189	567
677	1191	565
678	1193	564
679	1195	562
680	1197	560
681	1199	559
682	1200	557
683	1202	555
684	1204	553
685	1205	551
686	1207	550
687	1209	548
688	1211	546
689	1212	544
690	1214	542
691	1215	541
692	1217	539
693	1218	537
694	1220	535
695	1222	533
696	1224	532
697	1225	530
698	1226	528
699	1228	526
700	1230	524
701	1231	522
702	1233	521
703	1234	519
704	1236	517
705	1238	515
706	1239	513
707	1241	511
708	1243	510
709	1244	508
710	1246	506
711	1247	504
712	1249	502
713	1250	501
714	1253	499
715	1255	497
716	1256	496
717	1258	494
718	1259	492
719	1261	490
720	1263	488
721	1264	486
722	1267	485
723	1268	483
724	1270	481
725	1271	480
726	1273	478
727	1275	476
728	1277	474
729	1278	473
730	1280	471
731	1282	469
732	1284	467
733	1285	465
734	1287	464
735	1288	462
736	1290	460
737	1291	458
738	1293	456
739	1294	454
740	1296	453
741	1298	451
742	1300	449
743	1301	447
744	1302	445
745	1304	444
746	1305	442
747	1307	440
748	1309	438
749	1310	436
750	1312	435
751	1314	433
752	1315	431
753	1317	429
754	1318	427
755	1320	426
756	1321	424
757	1323	422
758	1325	420
759	1327	419
760	1328	417
761	1330	415
762	1331	413
763	1333	411
764	1334	410
765	1336	408
766	1338	406
767	1339	404
768	1341	403
769	1343	401
770	1344	399
771	1346	397
772	1347	395
773	1348	393
774	1350	392
775	1351	390
776	1352	388
777	1354	386
778	1356	384
779	1357	382
780	1359	381
781	1360	379
782	1362	377
783	1364	375
784	1365	374
785	1366	372
786	1368	370
787	1370	368
788	1371	366
789	1373	365
790	1374	363
791	1376	361
792	1377	359
793	1379	357
794	1380	356
795	1382	354
796	1383	352
797	1385	350
798	1387	349
799	1389	347
800	1391	345
801	1392	343
802	1394	342
803	1395	340
804	1397	338
805	1399	336
806	1401	335
807	1402	333
808	1404	331
809	1406	329
810	1407	328
811	1409	326
812	1410	324
813	1412	322
814	1414	321
815	1416	319
816	1419	317
817	1420	316
818	1422	314
819	1423	312
820	1425	310
821	1426	308
822	1428	307
823	1430	305
824	1431	303
825	1433	301
826	1435	300
827	1436	298
828	1438	296
829	1439	294
830	1441	293
831	1442	291
832	1444	289
833	1446	287
834	1448	286
835	1449	284
836	1451	282
837	1452	280
838	1454	279
839	1455	277
840	1457	275
841	1459	273
842	1461	272
843	1462	270
844	1464	268
845	1466	266
846	1467	265
847	1469	263
848	1470	261
849	1472	259
850	1474	258
851	1476	256
852	1477	254
853	1479	252
854	1481	251
855	1482	249
856	1483	247
857	1485	245
858	1487	244
859	1488	242
860	1490	240
861	1492	238
862	1493	237
863	1495	235
864	1496	233
865	1498	231
866	1499	230
867	1500	228
868	1502	226
869	1504	224
870	1507	223
871	1508	221
872	1510	219
873	1511	217
874	1513	216
875	1514	214
876	1516	212
877	1518	210
878	1520	209
879	1522	207
